"URL","from","to","weight","betweenness.edges"
"https://www.altmetric.com/details/12125570","@mariasacchetti","@antniosrz",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@jdf754",1,2
"https://www.altmetric.com/details/12125570","@Noahpinion","@neezyyo",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@bluesfan1994",1,1
"https://www.altmetric.com/details/12125570","@akaDSN","@SOS_IMPEACH_45",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@moveover4me2",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@BaizuoBu",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@nilsmu",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@DoodlesTrks",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@rieke_bryan",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@mamakesithappen",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@cdelrosso",1,1
"https://www.altmetric.com/details/12125570","@Josephinetsui","@didopina",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@SengMerrill",2,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@judyshapiro",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@NASEM_DBASSE",2,1
"https://www.altmetric.com/details/12125570","@doug_rand","@wydmindfeersart",2,1
"https://www.altmetric.com/details/12125570","@chucovibora","@LigayaLoyola",1,1
"https://www.altmetric.com/details/12125570","@eileendefreest","@BurnettCynthia",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@knicks148",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@RandomNewsFeedT",1,1
"https://www.altmetric.com/details/12125570","@EaterSouls","@danielle92118",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@jillibeenz1",1,1
"https://www.altmetric.com/details/12125570","@eileendefreest","@AUkeibro",1,1
"https://www.altmetric.com/details/12125570","@MomsThoughts","@rlmmoldan",1,1
